mard_code,group,number,hex,r,g,b
A1,A,1,#FAF4C8,250,244,200
B1,B,1,#E6EE31,230,238,49
C1,C,1,#E8FFE7,232,255,231
D1,D,1,#AEB4F2,174,180,242
E1,E,1,#FDD3CC,253,211,204
F1,F,1,#FD957B,253,149,123
G1,G,1,#FFE2CE,255,226,206
H1,H,1,#FDFBFF,253,251,255
M1,M,1,#BCC6B8,188,198,184
P1,P,1,#FCF7F8,252,247,248
Q1,Q,1,#F2A5E8,242,165,232
R1,R,1,#D50D21,213,13,33
T1,T,1,#FFFFFF,255,255,255
Y1,Y,1,#FD6FB4,253,111,180
ZG1,ZG,1,#DAABB3,218,171,179
A2,A,2,#FFFFD5,255,255,213
B2,B,2,#63F347,99,243,71
C2,C,2,#A9F9FC,169,249,252
D2,D,2,#858EDD,133,142,221
E2,E,2,#FEC0DF,254,192,223
F2,F,2,#FC3D46,252,61,70
G2,G,2,#FFC4AA,255,196,170
H2,H,2,#FEFFFF,254,255,255
M2,M,2,#8AA386,138,163,134
P2,P,2,#B0A9AC,176,169,172
Q2,Q,2,#E9EC91,233,236,145
R2,R,2,#F92F83,249,47,131
Y2,Y,2,#FEB481,254,180,129
ZG2,ZG,2,#D6AA87,214,170,135
A3,A,3,#FEFF8B,254,255,139
B3,B,3,#9EF780,158,247,128
C3,C,3,#A0E2FB,160,226,251
D3,D,3,#2F54AF,47,84,175
E3,E,3,#FFB7E7,255,183,231
F3,F,3,#F74941,247,73,65
G3,G,3,#F4C3A5,244,195,165
H3,H,3,#B6B1BA,182,177,186
M3,M,3,#697D80,105,125,128
P3,P,3,#AFDCAB,175,220,171
Q3,Q,3,#FFFF00,255,255,0
R3,R,3,#FD8324,253,131,36
Y3,Y,3,#D7FAA0,215,250,160
ZG3,ZG,3,#C1BD8D,193,189,141
A4,A,4,#FBED56,251,237,86
B4,B,4,#5DE035,93,224,53
C4,C,4,#41CCFF,65,204,255
D4,D,4,#182A84,24,42,132
E4,E,4,#E8649E,232,100,158
F4,F,4,#FC283C,252,40,60
G4,G,4,#E1B383,225,179,131
H4,H,4,#89858C,137,133,140
M4,M,4,#E3D2BC,227,210,188
P4,P,4,#FEA49F,254,164,159
Q4,Q,4,#FFEBFA,255,235,250
R4,R,4,#F8EC31,248,236,49
Y4,Y,4,#8BDBFA,139,219,250
ZG4,ZG,4,#96869F,150,134,159
A5,A,5,#F4D738,244,215,56
B5,B,5,#35E352,53,227,82
C5,C,5,#01ACEB,1,172,235
D5,D,5,#B843C5,184,67,197
E5,E,5,#F551A2,245,81,162
F5,F,5,#E7002F,231,0,47
G5,G,5,#EDB045,237,176,69
H5,H,5,#48464E,72,70,78
M5,M,5,#D0CCAA,208,204,170
P5,P,5,#EE8C3E,238,140,62
Q5,Q,5,#76CEDE,118,206,222
R5,R,5,#35C75B,53,199,91
Y5,Y,5,#E987EA,233,135,234
ZG5,ZG,5,#8490A6,132,144,166
A6,A,6,#FEAC4C,254,172,76
B6,B,6,#65E2A6,101,226,166
C6,C,6,#50AAF0,80,170,240
D6,D,6,#AC7BDE,172,123,222
E6,E,6,#F13D74,241,61,116
F6,F,6,#943630,148,54,48
G6,G,6,#E99C17,233,156,23
H6,H,6,#2F2B2F,47,43,47
M6,M,6,#B0A782,176,167,130
P6,P,6,#5FD0A7,95,208,167
R6,R,6,#238891,35,136,145
ZG6,ZG,6,#94BFE2,148,191,226
A7,A,7,#FE8B4C,254,139,76
B7,B,7,#3DAF80,61,175,128
C7,C,7,#3677D2,54,119,210
D7,D,7,#8854B3,136,84,179
E7,E,7,#C63478,198,52,120
F7,F,7,#971937,151,25,55
