mard_code,group,number,hex,r,g,b
P1,P,1,#FCF7F8,252,247,248
P2,P,2,#B0A9AC,176,169,172
P3,P,3,#AFDCAB,175,220,171
P4,P,4,#FEA49F,254,164,159
P5,P,5,#EE8C3E,238,140,62
P6,P,6,#5FD0A7,95,208,167
P7,P,7,#EB9270,235,146,112
P8,P,8,#F0D958,240,217,88
P9,P,9,#D9D9D9,217,217,217
P10,P,10,#D9C7EA,217,199,234
P11,P,11,#F3ECC9,243,236,201
P12,P,12,#E6EEF2,230,238,242
P13,P,13,#AACBEF,170,203,239
P14,P,14,#337680,51,118,128
P15,P,15,#668575,102,133,117
P16,P,16,#FEBF45,254,191,69
P17,P,17,#FEA324,254,163,36
P18,P,18,#FEB89F,254,184,159
P19,P,19,#FFFEEC,255,254,236
P20,P,20,#FEBECF,254,190,207
P21,P,21,#ECBEBF,236,190,191
P22,P,22,#E4A89F,228,168,159
P23,P,23,#A56268,165,98,104
Q1,Q,1,#F2A5E8,242,165,232
Q2,Q,2,#E9EC91,233,236,145
Q3,Q,3,#FFFF00,255,255,0
Q4,Q,4,#FFEBFA,255,235,250
Q5,Q,5,#76CEDE,118,206,222
R1,R,1,#D50D21,213,13,33
R2,R,2,#F92F83,249,47,131
R3,R,3,#FD8324,253,131,36
R4,R,4,#F8EC31,248,236,49
R5,R,5,#35C75B,53,199,91
R6,R,6,#238891,35,136,145
R7,R,7,#19779D,25,119,157
R8,R,8,#1A60C3,26,96,195
R9,R,9,#9A56B4,154,86,180
R10,R,10,#FFDB4C,255,219,76
R11,R,11,#FFEBFB,255,235,251
R12,R,12,#D8D5CE,216,213,206
R13,R,13,#55514C,85,81,76
R14,R,14,#9FE4DF,159,228,223
R15,R,15,#77CEE9,119,206,233
R16,R,16,#3ECFCA,62,207,202
R17,R,17,#4A867A,74,134,122
R18,R,18,#7FCD9D,127,205,157
R19,R,19,#CDE55D,205,229,93
R20,R,20,#E8C7B4,232,199,180
R21,R,21,#AD6F3C,173,111,60
R22,R,22,#6C372F,108,55,47
R23,R,23,#FEB872,254,184,114
R24,R,24,#F3C1C0,243,193,192
R25,R,25,#C9675E,201,103,94
R26,R,26,#D293BE,210,147,190
R27,R,27,#EA8CB1,234,140,177
R28,R,28,#9C87D6,156,135,214
T1,T,1,#FFFFFF,255,255,255
Y1,Y,1,#FD6FB4,253,111,180
Y2,Y,2,#FEB481,254,180,129
Y3,Y,3,#D7FAA0,215,250,160
Y4,Y,4,#8BDBFA,139,219,250
Y5,Y,5,#E987EA,233,135,234
ZG1,ZG,1,#DAABB3,218,171,179
ZG2,ZG,2,#D6AA87,214,170,135
ZG3,ZG,3,#C1BD8D,193,189,141
ZG4,ZG,4,#96869F,150,134,159
ZG5,ZG,5,#8490A6,132,144,166
ZG6,ZG,6,#94BFE2,148,191,226
ZG7,ZG,7,#E2A9D2,226,169,210
ZG8,ZG,8,#AB91C0,171,145,192
